,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,00시00분,두바이 (DXB),EK323Y에미레이트항공,T1,M01-M10,43, 출발 ,-
1,00시00분,두바이 (DXB),KE5951Y대한항공,T1,M01-M10,43, 출발 ,
2,00시03분,상하이/푸동 (PVG),ZE871Y이스타항공,T1,F07-F18,122, 출발 ,-
3,00시05분,다낭 (DAD),RS511Y에어서울,T1,D01-D05,101, 출발 ,-
4,00시05분,다낭 (DAD),OZ9671Y아시아나항공,T1,D01-D05,101, 출발 ,
5,00시08분,쿠알라룸푸르 (KUL),D7509에어아시아엑스,T1,F19-F28,109, 출발 ,-
6,00시12분,정저우 (CGO),ZE853이스타항공,T1,F07-F18,128, 출발 ,-
7,00시21분,쿠알라룸푸르 (KUL),MH039말레이시아 에어라인스,T1,M11-M16,26, 출발 ,-
8,00시21분,쿠알라룸푸르 (KUL),KE5669대한항공,T1,M11-M16,26, 출발 ,
9,00시25분,다낭 (DAD),QH485뱀부 항공,T1,B11-B15,41, 출발 ,-
10,00시27분,아부다비 (AUH),EY873에티하드 항공,T1,C23-C35,46, 출발 ,-
11,00시27분,아부다비 (AUH),SV6775사우디 아라비안 항공,T1,C23-C35,46, 출발 ,
12,00시27분,아부다비 (AUH),KE7901대한항공,T1,C23-C35,46, 출발 ,
13,00시27분,아부다비 (AUH),MS8089이집트항공,T1,C23-C35,46, 출발 ,
14,00시27분,아부다비 (AUH),HM5377세이셸항공,T1,C23-C35,46, 출발 ,
15,00시27분,아부다비 (AUH),JU7574에어세르비아,T1,C23-C35,46, 출발 ,
16,00시27분,아부다비 (AUH),AZ5689알리탈리아,T1,C23-C35,46, 출발 ,
17,00시27분,아부다비 (AUH),WY5873오만항공,T1,C23-C35,46, 출발 ,
18,00시27분,아부다비 (AUH),RJ3632로얄 요르단 항공,T1,C23-C35,46, 출발 ,
19,00시27분,아부다비 (AUH),XY3873플라이나스,T1,C23-C35,46, 출발 ,
20,00시27분,아부다비 (AUH),OZ6971아시아나항공,T1,C23-C35,46, 출발 ,
21,00시30분,방콕/돈므앙 (DMK),XJ703타이에어아시아엑스,T1,F19-F26,111, 출발 ,-
22,00시32분,이스탄불 (IST),TK091터키항공,T1,E09-E18,22, 출발 ,-
23,00시32분,이스탄불 (IST),OZ6931아시아나항공,T1,E09-E18,22, 출발 ,
24,00시35분,하바로프스크 (KHV),HZ5751오로라항공,T1,D21-D27,32, 출발 ,-
25,00시35분,하바로프스크 (KHV),SU5751아에로플로트 러시아항공,T1,D21-D27,32, 출발 ,
