,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,18시00분,덴파사르 (DPS),KE629대한항공,T2,A B D E G,234.0, 출발 ,-
1,18시00분,덴파사르 (DPS),GA9965가루다인도네시아,T2,A B D E G,234.0, 출발 ,
2,18시14분,나고야 (NGO),7C1608제주항공,T1,M19-N06,124.0, 출발 ,-
3,18시14분,나고야 (NGO),H19840한 에어,T1,M19-N06,124.0, 출발 ,
4,18시16분,괌 (GUM),TW301티웨이항공,T1,H01-H18,102.0, 출발 ,-
5,18시21분,코타키나발루 (BKI),LJ061진에어,T1,F21-G11,123.0, 출발 ,-
6,18시21분,코타키나발루 (BKI),KE5761대한항공,T1,F21-G11,123.0, 출발 ,
7,18시25분,치앙마이 (CNX),KE667대한항공,T2,A B D E G,249.0, 출발 ,-
8,18시25분,치앙마이 (CNX),DL7924델타항공,T2,A B D E G,249.0, 출발 ,
9,18시27분,호찌민 (SGN),VN405베트남항공,T1,E19-E32,105.0, 출발 ,-
10,18시27분,호찌민 (SGN),KE5675대한항공,T1,E19-E32,105.0, 출발 ,
11,18시30분,알마티 (ALA),OZ577아시아나항공,T1,B19-C36,19.0, 출발 ,-
12,18시30분,알마티 (ALA),KC577에어 아스타나,T1,B19-C36,19.0, 출발 ,
13,18시32분,다낭 (DAD),ZE591이스타항공,T1,F06-F18,128.0, 출발 ,-
14,18시35분,하노이 (HAN),VN415베트남항공,T1,E19-E32,113.0, 출발 ,-
15,18시35분,하노이 (HAN),KE5689대한항공,T1,E19-E32,113.0, 출발 ,
16,18시38분,시애틀 (SEA),OZ272아시아나항공,T1,B19-C36,24.0, 출발 ,-
17,18시38분,시애틀 (SEA),UA7291유나이티드항공,T1,B19-C36,24.0, 출발 ,
18,18시38분,시애틀 (SEA),SQ5772싱가포르항공,T1,B19-C36,24.0, 출발 ,
19,18시38분,시애틀 (SEA),TG6749타이항공,T1,B19-C36,24.0, 출발 ,
20,18시40분,호찌민 (SGN),KE683대한항공,T2,A B D E G,241.0, 출발 ,-
21,18시40분,호찌민 (SGN),DL7925델타항공,T2,A B D E G,241.0, 출발 ,
22,18시40분,호찌민 (SGN),VN3401베트남항공,T2,A B D E G,241.0, 출발 ,
23,18시42분,치앙마이 (CNX),7C4205제주항공,T1,M19-N06,50.0, 출발 ,-
24,18시42분,치앙마이 (CNX),H19780한 에어,T1,M19-N06,50.0, 출발 ,
25,18시44분,부산 (PUS),KE1405대한항공,T2,-,243.0, 출발 ,-
26,18시44분,부산 (PUS),DL7878델타항공,T2,-,243.0, 출발 ,
27,18시44분,부산 (PUS),AF7903에어 프랑스,T2,-,243.0, 출발 ,
28,18시44분,부산 (PUS),KL4247케에엘엠네덜란드항공,T2,-,243.0, 출발 ,
29,18시44분,부산 (PUS),AZ2775알리탈리아,T2,-,243.0, 출발 ,
30,18시46분,방콕/수완나폼 (BKK),OZ741아시아나항공,T1,B19-C36,17.0, 출발 ,-
31,18시46분,방콕/수완나폼 (BKK),ET1298에티오피아항공,T1,B19-C36,17.0, 출발 ,
32,18시46분,방콕/수완나폼 (BKK),AC6996캐나다항공,T1,B19-C36,17.0, 출발 ,
33,18시46분,방콕/수완나폼 (BKK),OS8052오스트리아 항공,T1,B19-C36,17.0, 출발 ,
34,18시46분,방콕/수완나폼 (BKK),TG6727타이항공,T1,B19-C36,17.0, 출발 ,
35,18시49분,상하이/푸동 (PVG),FM828상하이항공,T1,H19-H25,125.0, 출발 ,-
36,18시49분,상하이/푸동 (PVG),MU9828중국동방항공,T1,H19-H25,125.0, 출발 ,
37,18시49분,상하이/푸동 (PVG),KE5893대한항공,T1,H19-H25,125.0, 출발 ,
38,18시51분,시애틀 (SEA),DL198델타항공,T2,F01-F10,251.0, 출발 ,-
39,18시51분,시애틀 (SEA),KE5019대한항공,T2,F01-F10,251.0, 출발 ,
40,18시53분,코타키나발루 (BKI),ZE503이스타항공,T1,F06-F18,131.0, 출발 ,-
41,18시54분,후쿠오카 (FUK),TW293티웨이항공,T1,H01-H18,130.0, 출발 ,-
42,18시56분,다낭 (DAD),KE463대한항공,T2,A B D E G,263.0, 출발 ,-
43,18시56분,다낭 (DAD),DL7680델타항공,T2,A B D E G,263.0, 출발 ,
44,18시56분,다낭 (DAD),VN3441베트남항공,T2,A B D E G,263.0, 출발 ,
45,18시58분,후쿠오카 (FUK),OZ136아시아나항공,T1,B19-C36,11.0, 출발 ,-
46,18시58분,후쿠오카 (FUK),TK8094터키항공,T1,B19-C36,11.0, 출발 ,
47,18시58분,후쿠오카 (FUK),NH6898전일본공수 주식회사,T1,B19-C36,11.0, 출발 ,
48,18시58분,후쿠오카 (FUK),EY8442에티하드 항공,T1,B19-C36,11.0, 출발 ,
49,18시58분,후쿠오카 (FUK),AC6998캐나다항공,T1,B19-C36,11.0, 출발 ,
50,18시58분,후쿠오카 (FUK),ET1444에티오피아항공,T1,B19-C36,11.0, 출발 ,
51,19시00분,양곤 (RGN),KE471대한항공,T2,A B D E G,253.0, 출발 ,-
52,19시00분,양곤 (RGN),8M7471미얀마국제항공,T2,A B D E G,253.0, 출발 ,
53,19시00분,댈러스/댈러스포트워스 (DFW),AA280아메리칸항공,T1,M09-M16,31.0, 출발 ,-
54,19시00분,댈러스/댈러스포트워스 (DFW),KE5031대한항공,T1,M09-M16,31.0, 출발 ,
55,19시00분,댈러스/댈러스포트워스 (DFW),MH9428말레이시아 에어라인스,T1,M09-M16,31.0, 출발 ,
56,19시01분,싱가포르 (SIN),KE645대한항공,T2,A B D E G,258.0, 출발 ,-
57,19시01분,싱가포르 (SIN),DL7690델타항공,T2,A B D E G,258.0, 출발 ,
58,19시02분,베이징 (PEK),CA126중국국제항공,T1,L27-L36,48.0, 출발 ,-
59,19시02분,베이징 (PEK),OZ6803아시아나항공,T1,L27-L36,48.0, 출발 ,
60,19시04분,프놈펜 (PNH),KE689대한항공,T2,A B D E G,235.0, 출발 ,-
61,19시04분,프놈펜 (PNH),DL7871델타항공,T2,A B D E G,235.0, 출발 ,
62,19시04분,후쿠오카 (FUK),KE781대한항공,T2,A B D E G,260.0, 출발 ,-
63,19시04분,후쿠오카 (FUK),AZ2772알리탈리아,T2,A B D E G,260.0, 출발 ,
64,19시04분,후쿠오카 (FUK),KL4258케에엘엠네덜란드항공,T2,A B D E G,260.0, 출발 ,
65,19시04분,후쿠오카 (FUK),JL5224일본항공,T2,A B D E G,260.0, 출발 ,
66,19시04분,후쿠오카 (FUK),DL7883델타항공,T2,A B D E G,260.0, 출발 ,
67,19시06분,하노이 (HAN),KE679대한항공,T2,A B D E G,246.0, 출발 ,-
68,19시06분,하노이 (HAN),VN3411베트남항공,T2,A B D E G,246.0, 출발 ,
69,19시06분,하노이 (HAN),DL7923델타항공,T2,A B D E G,246.0, 출발 ,
70,19시06분,밴쿠버 (YVR),KE071대한항공,T2,A B D E G,256.0, 출발 ,-
71,19시08분,도쿄/나리타 (NRT),KE705대한항공,T2,A B D E G,270.0, 출발 ,-
72,19시08분,도쿄/나리타 (NRT),JL5206일본항공,T2,A B D E G,270.0, 출발 ,
73,19시08분,도쿄/나리타 (NRT),DL7672델타항공,T2,A B D E G,270.0, 출발 ,
74,19시10분,도쿄/나리타 (NRT),OZ108아시아나항공,T1,B19-C36,15.0, 출발 ,-
75,19시10분,도쿄/나리타 (NRT),NH6978전일본공수 주식회사,T1,B19-C36,15.0, 출발 ,
76,19시10분,도쿄/나리타 (NRT),UA7297유나이티드항공,T1,B19-C36,15.0, 출발 ,
77,19시10분,도쿄/나리타 (NRT),EY8459에티하드 항공,T1,B19-C36,15.0, 출발 ,
78,19시11분,코타키나발루 (BKI),ZE501이스타항공,T1,F06-F18,126.0, 출발 ,-
79,19시12분,오사카/ 간사이 (KIX),OZ116아시아나항공,T1,B19-C36,8.0, 출발 ,-
80,19시12분,오사카/ 간사이 (KIX),ET1290에티오피아항공,T1,B19-C36,8.0, 출발 ,
81,19시12분,오사카/ 간사이 (KIX),NH6956전일본공수 주식회사,T1,B19-C36,8.0, 출발 ,
82,19시14분,세부 (CEB),KE631대한항공,T2,A B D E G,231.0, 출발 ,-
83,19시16분,상하이/푸동 (PVG),KE895대한항공,T2,A B D E G,236.0, 출발 ,-
84,19시16분,상하이/푸동 (PVG),MU8379중국동방항공,T2,A B D E G,236.0, 출발 ,
85,19시16분,상하이/푸동 (PVG),FM8754상하이항공,T2,A B D E G,236.0, 출발 ,
86,19시18분,호찌민 (SGN),KE685대한항공,T2,A B D E G,247.0, 출발 ,-
87,19시18분,호찌민 (SGN),VN3407베트남항공,T2,A B D E G,247.0, 출발 ,
88,19시18분,호찌민 (SGN),DL7919델타항공,T2,A B D E G,247.0, 출발 ,
89,19시18분,나고야 (NGO),KE743대한항공,T2,A B D E G,255.0, 출발 ,-
90,19시18분,나고야 (NGO),AF7909에어 프랑스,T2,A B D E G,255.0, 출발 ,
91,19시18분,나고야 (NGO),DL7686델타항공,T2,A B D E G,255.0, 출발 ,
92,19시18분,나고야 (NGO),AZ2768알리탈리아,T2,A B D E G,255.0, 출발 ,
93,19시18분,나고야 (NGO),JL5218일본항공,T2,A B D E G,255.0, 출발 ,
94,19시18분,나고야 (NGO),KL9848케에엘엠네덜란드항공,T2,A B D E G,255.0, 출발 ,
95,19시21분,베이징 (PEK),KE853대한항공,T2,A B D E G,264.0, 출발 ,-
96,19시21분,베이징 (PEK),CZ4506중국남방항공,T2,A B D E G,264.0, 출발 ,
97,19시21분,베이징 (PEK),MF9096샤먼항공,T2,A B D E G,264.0, 출발 ,
98,19시22분,상하이/푸동 (PVG),CZ370중국남방항공,T1,H35-J18,109.0, 출발 ,-
99,19시22분,상하이/푸동 (PVG),MU3500중국동방항공,T1,H35-J18,109.0, 출발 ,
100,19시22분,상하이/푸동 (PVG),KE5809대한항공,T1,H35-J18,109.0, 출발 ,
101,19시25분,다낭 (DAD),OZ755아시아나항공,T1,B19-C36,14.0, 출발 ,-
102,19시26분,시드니 (SYD),KE121대한항공,T2,A B D E G,232.0, 출발 ,-
103,19시26분,시드니 (SYD),AF7876에어 프랑스,T2,A B D E G,232.0, 출발 ,
104,19시28분,비엔티안 (VTE),7C4303제주항공,T1,M19-N06,41.0, 출발 ,-
105,19시28분,비엔티안 (VTE),H19906한 에어,T1,M19-N06,41.0, 출발 ,
106,19시31분,방콕/수완나폼 (BKK),KE653대한항공,T2,A B D E G,234.0, 출발 ,-
107,19시31분,방콕/수완나폼 (BKK),DL7692델타항공,T2,A B D E G,234.0, 출발 ,
108,19시33분,미니애폴리스 (MSP),DL170델타항공,T2,F01-F10,252.0, 출발 ,-
109,19시33분,미니애폴리스 (MSP),KE5033대한항공,T2,F01-F10,252.0, 출발 ,
110,19시37분,호찌민 (SGN),OZ735아시아나항공,T1,B19-C36,7.0, 출발 ,-
