,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,12시00분,다낭 (DAD),7C2901제주항공,T1,M19-N06,118.0, 출발 ,-
1,12시00분,다낭 (DAD),H19875한 에어,T1,M19-N06,118.0, 출발 ,
2,12시03분,덴파사르 (DPS),GA871가루다인도네시아,T2,H08-H20,254.0, 출발 ,-
3,12시03분,덴파사르 (DPS),SU4095아에로플로트 러시아항공,T2,H08-H20,254.0, 출발 ,
4,12시03분,덴파사르 (DPS),KE5629대한항공,T2,H08-H20,254.0, 출발 ,
5,12시05분,오키나와 (OKA),ZE631이스타항공,T1,F05-F18,127.0, 출발 ,-
6,12시08분,방콕/돈므앙 (DMK),XJ701타이에어아시아엑스,T1,F01-F08,123.0, 출발 ,-
7,12시11분,비엔티안 (VTE),QV922라오항공,T1,D06-D09,42.0, 출발 ,-
8,12시12분,지난 (TNA),SC4096산동항공,T1,N09-N15,36.0, 출발 ,-
9,12시12분,지난 (TNA),CA4096중국국제항공,T1,N09-N15,36.0, 출발 ,
10,12시12분,지난 (TNA),OZ6709아시아나항공,T1,N09-N15,36.0, 출발 ,
11,12시13분,세부 (CEB),BX715에어부산,T1,L19-L22,115.0, 출발 ,-
12,12시15분,마드리드 (MAD),KE913대한항공,T2,A B D E G,242.0, 출발 ,-
13,12시15분,마드리드 (MAD),UX3601에어 유로파,T2,A B D E G,242.0, 출발 ,
14,12시17분,호찌민 (SGN),VJ863비엣젯항공,T1,E30-E34,121.0, 출발 ,-
15,12시19분,칼리보 (KLO),TW145티웨이항공,T1,H01-H12,126.0, 출발 ,-
16,12시20분,후쿠오카 (FUK),LJ223진에어,T1,F28-G11,124.0, 출발 ,-
17,12시21분,누르술탄 (TSE),KC210에어 아스타나,T1,F19-F23,47.0, 출발 ,-
18,12시21분,누르술탄 (TSE),OZ6963아시아나항공,T1,F19-F23,47.0, 출발 ,
19,12시23분,다낭 (DAD),TW165티웨이항공,T1,H01-H12,108.0, 출발 ,-
20,12시25분,타이베이 (TPE),B7169유니항공,T1,E13-E17,30.0, 출발 ,-
21,12시25분,타이베이 (TPE),BR2169에바항공,T1,E13-E17,30.0, 출발 ,
22,12시26분,나고야 (NGO),TW237티웨이항공,T1,H01-H18,131.0, 출발 ,-
23,12시27분,칭다오 (TAO),MU2040중국동방항공,T1,H19-H34,119.0, 출발 ,-
24,12시27분,칭다오 (TAO),KE5853대한항공,T1,H19-H34,119.0, 출발 ,
25,12시28분,나트랑 (CXR),ZE563이스타항공,T1,F05-F18,114.0, 출발 ,-
26,12시30분,델리 (DEL),AI313에어인디아 리미티드,T1,D19-D36,33.0, 출발 ,-
27,12시30분,델리 (DEL),OZ6377아시아나항공,T1,D19-D36,33.0, 출발 ,
28,12시33분,가오슝 (KHH),CI165중화항공,T2,F14-F18,250.0, 출발 ,-
29,12시33분,가오슝 (KHH),KE5699대한항공,T2,F14-F18,250.0, 출발 ,
30,12시33분,톈진 (TSN),GS7994천진항공,T1,H13-H18,34.0, 출발 ,-
31,12시36분,옌타이 (YNT),MU550중국동방항공,T1,H19-H34,122.0, 출발 ,-
32,12시36분,옌타이 (YNT),KE5847대한항공,T1,H19-H34,122.0, 출발 ,
33,12시37분,상하이/푸동 (PVG),CZ314중국남방항공,T1,H35-J18,103.0, 출발 ,-
34,12시37분,상하이/푸동 (PVG),MU3498중국동방항공,T1,H35-J18,103.0, 출발 ,
35,12시38분,반다르스리브가완 (BWN),BI652로얄브루나이항공,T1,E09-E12,48.0, 출발 ,-
36,12시38분,반다르스리브가완 (BWN),KE5651대한항공,T1,E09-E12,48.0, 출발 ,
37,12시39분,칭다오 (TAO),SC4618산동항공,T1,N09-N15,38.0, 출발 ,-
38,12시39분,칭다오 (TAO),CA4618중국국제항공,T1,N09-N15,38.0, 출발 ,
39,12시39분,칭다오 (TAO),OZ6707아시아나항공,T1,N09-N15,38.0, 출발 ,
40,12시42분,난징 (NKG),MU580중국동방항공,T1,H19-H34,132.0, 출발 ,-
41,12시42분,하바로프스크 (KHV),HZ5451오로라항공,T1,E01-E08,28.0, 출발 ,-
42,12시42분,하바로프스크 (KHV),SU5451아에로플로트 러시아항공,T1,E01-E08,28.0, 출발 ,
43,12시42분,하바로프스크 (KHV),KE5985대한항공,T1,E01-E08,28.0, 출발 ,
44,12시45분,난징 (NKG),OZ349아시아나항공,T1,B19-C36,7.0, 출발 ,-
45,12시47분,타이베이 (TPE),CI161중화항공,T2,F06-F13,261.0, 출발 ,-
46,12시47분,타이베이 (TPE),KE5691대한항공,T2,F06-F13,261.0, 출발 ,
47,12시47분,타이베이 (TPE),DL7718델타항공,T2,F06-F13,261.0, 출발 ,
48,12시50분,홍콩 (HKG),UO619홍콩익스프레스,T1,D25-D29,113.0, 출발 ,-
49,12시51분,하얼빈 (HRB),OZ339아시아나항공,T1,B19-C36,18.0, 출발 ,-
50,12시51분,하얼빈 (HRB),CZ4204중국남방항공,T1,B19-C36,18.0, 출발 ,
51,12시53분,항저우 (HGH),OZ359아시아나항공,T1,B19-C36,6.0, 출발 ,-
52,12시53분,항저우 (HGH),CA5018중국국제항공,T1,B19-C36,6.0, 출발 ,
53,12시55분,싱가포르 (SIN),SQ611싱가포르항공,T1,D10-D17,32.0, 출발 ,-
54,12시55분,싱가포르 (SIN),OZ6725아시아나항공,T1,D10-D17,32.0, 출발 ,
55,12시55분,싱가포르 (SIN),VA5403버진 오스트레일리아,T1,D10-D17,32.0, 출발 ,
56,13시01분,가오슝 (KHH),OZ717아시아나항공,T1,B19-C36,16.0, 출발 ,-
57,13시01분,가오슝 (KHH),BR2145에바항공,T1,B19-C36,16.0, 출발 ,
58,13시02분,블라디보스토크 (VVO),7C5102제주항공,T1,M19-N06,112.0, 출발 ,-
59,13시02분,블라디보스토크 (VVO),H19896한 에어,T1,M19-N06,112.0, 출발 ,
60,13시03분,후쿠오카 (FUK),OZ134아시아나항공,T1,B19-C36,14.0, 출발 ,-
61,13시03분,후쿠오카 (FUK),NH6960전일본공수 주식회사,T1,B19-C36,14.0, 출발 ,
62,13시05분,항저우 (HGH),CA140중국국제항공,T1,L19-L36,31.0, 출발 ,-
63,13시05분,항저우 (HGH),OZ6827아시아나항공,T1,L19-L36,31.0, 출발 ,
64,13시05분,뮌헨 (MUC),LH719루프트한자 독일항공,T1,E19-E28,39.0, 출발 ,-
65,13시08분,선양 (SHE),CZ682중국남방항공,T1,H35-J18,111.0, 출발 ,-
66,13시08분,선양 (SHE),KE5831대한항공,T1,H35-J18,111.0, 출발 ,
67,13시11분,델리 (DEL),KE481대한항공,T2,A B D E G,253.0, 출발 ,-
68,13시11분,델리 (DEL),DL9028델타항공,T2,A B D E G,253.0, 출발 ,
69,13시11분,톈진 (TSN),CA172중국국제항공,T1,L19-L36,37.0, 출발 ,-
70,13시11분,톈진 (TSN),OZ6811아시아나항공,T1,L19-L36,37.0, 출발 ,
71,13시14분,로마 (FCO),OZ561아시아나항공,T1,B19-C36,15.0, 출발 ,-
72,13시17분,우한 (WUH),CZ6080중국남방항공,T1,H35-J18,110.0, 출발 ,-
73,13시17분,우한 (WUH),KE5805대한항공,T1,H35-J18,110.0, 출발 ,
74,13시17분,다롄 (DLC),KE869대한항공,T2,A B D E G,260.0, 출발 ,-
75,13시17분,다롄 (DLC),CZ4518중국남방항공,T2,A B D E G,260.0, 출발 ,
