,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,00시01분,세부 (CEB),Z27047필리핀에어아시아,T1,F01-F20,113, 출발 ,-
1,00시03분,나트랑 (CXR),TW157Y티웨이항공,T1,H01-H12,126, 출발 ,-
2,00시05분,나트랑 (CXR),ZE561Y이스타항공,T1,F07-F18,108, 출발 ,-
3,00시08분,두바이 (DXB),EK323Y에미레이트항공,T1,M01-M18,43, 출발 ,-
4,00시08분,두바이 (DXB),KE5951Y대한항공,T1,M01-M18,43, 출발 ,
5,00시11분,상하이/푸동 (PVG),ZE871Y이스타항공,T1,F07-F18,128, 출발 ,-
6,00시13분,사이판 (SPN),7C3404Y제주항공,T1,M19-M36,131, 출발 ,-
7,00시13분,사이판 (SPN),H19890Y한 에어,T1,M19-M36,131, 출발 ,
8,00시15분,다낭 (DAD),RS511Y에어서울,T1,D01-D05,101, 출발 ,-
9,00시15분,다낭 (DAD),OZ9671Y아시아나항공,T1,D01-D05,101, 출발 ,
10,00시22분,마카오 (MFM),TW107티웨이항공,T1,H01-H12,103, 출발 ,-
11,00시24분,정저우 (CGO),CZ8130중국남방항공,T1,J09-J18,112, 출발 ,-
12,00시26분,홍콩 (HKG),RS501Y에어서울,T1,D01-D05,107, 출발 ,-
13,00시26분,홍콩 (HKG),OZ9661Y아시아나항공,T1,D01-D05,107, 출발 ,
14,00시28분,다낭 (DAD),QH485뱀부 항공,T1,B11-B15,115, 출발 ,-
15,00시31분,이스탄불 (IST),TK091터키항공,T1,E09-E18,22, 출발 ,-
16,00시31분,이스탄불 (IST),OZ6931아시아나항공,T1,E09-E18,22, 출발 ,
17,00시38분,호찌민 (SGN),7C4703Y제주항공,T1,M19-M36,36, 출발 ,-
18,00시38분,호찌민 (SGN),H19908Y한 에어,T1,M19-M36,36, 출발 ,
19,00시40분,아부다비 (AUH),EY873에티하드 항공,T1,C23-C35,46, 출발 ,-
20,00시40분,아부다비 (AUH),HM5377세이셸항공,T1,C23-C35,46, 출발 ,
21,00시40분,아부다비 (AUH),RJ3632로얄 요르단 항공,T1,C23-C35,46, 출발 ,
22,00시40분,아부다비 (AUH),SV6775사우디 아라비안 항공,T1,C23-C35,46, 출발 ,
23,00시40분,아부다비 (AUH),XY3873플라이나스,T1,C23-C35,46, 출발 ,
24,00시40분,아부다비 (AUH),OZ6971아시아나항공,T1,C23-C35,46, 출발 ,
25,00시40분,아부다비 (AUH),MS8089이집트항공,T1,C23-C35,46, 출발 ,
26,00시40분,아부다비 (AUH),AZ5689알리탈리아,T1,C23-C35,46, 출발 ,
27,00시40분,아부다비 (AUH),WY5873오만항공,T1,C23-C35,46, 출발 ,
28,00시40분,아부다비 (AUH),KE7901대한항공,T1,C23-C35,46, 출발 ,
29,00시40분,아부다비 (AUH),JU7574에어세르비아,T1,C23-C35,46, 출발 ,
30,00시42분,방콕/돈므앙 (DMK),XJ703타이에어아시아엑스,T1,F21-F28,111, 출발 ,-
31,00시47분,도하 (DOH),QR859카타르항공,T1,D25-D34,32, 출발 ,-
32,00시47분,도하 (DOH),AT9735로얄 에어 모로코,T1,D25-D34,32, 출발 ,
33,00시47분,도하 (DOH),OZ6889아시아나항공,T1,D25-D34,32, 출발 ,
34,00시50분,칭다오 (TAO),SC4722Y산동항공,T1,,15, 출발 ,-
35,00시50분,칭다오 (TAO),CA4722Y중국국제항공,T1,,15, 출발 ,
36,00시50분,칭다오 (TAO),OZ6717Y아시아나항공,T1,,15, 출발 ,
37,00시52분,다낭 (DAD),TW127Y티웨이항공,T1,H01-H12,114, 출발 ,-
38,00시54분,볼레(아디스아바바) (ADD),ET673에티오피아항공,T1,E19-E25,121, 출발 ,-
39,00시57분,세부 (CEB),7C2407Y제주항공,T1,M19-M36,125, 출발 ,-
40,00시57분,세부 (CEB),H19937Y한 에어,T1,M19-M36,125, 출발 ,
41,01시00분,하노이 (HAN),7C2803Y제주항공,T1,M19-M36,122, 출발 ,-
42,01시00분,하노이 (HAN),H19873Y한 에어,T1,M19-M36,122, 출발 ,
43,01시04분,암스테르담 (AMS),KL856케에엘엠네덜란드항공,T2,E19-F05,253, 출발 ,-
44,01시04분,암스테르담 (AMS),KE5925대한항공,T2,E19-F05,253, 출발 ,
45,01시04분,암스테르담 (AMS),AF8421에어 프랑스,T2,E19-F05,253, 출발 ,
