,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,09시01분,칼리보 (KLO),5J181세부퍼시픽항공,T1,J01-J04,109.0, 출발 ,-
1,09시06분,상하이/푸동 (PVG),KE893대한항공,T2,A B D E G,248.0, 출발 ,-
2,09시06분,상하이/푸동 (PVG),FM8752상하이항공,T2,A B D E G,248.0, 출발 ,
3,09시06분,상하이/푸동 (PVG),MU8357중국동방항공,T2,A B D E G,248.0, 출발 ,
4,09시09분,선양 (SHE),KE831대한항공,T2,A B D E G,255.0, 출발 ,-
5,09시09분,선양 (SHE),CZ4516중국남방항공,T2,A B D E G,255.0, 출발 ,
6,09시12분,광저우 (CAN),KE865대한항공,T2,A B D E G,254.0, 출발 ,-
7,09시12분,광저우 (CAN),CZ4502중국남방항공,T2,A B D E G,254.0, 출발 ,
8,09시15분,세부 (CEB),LJ021진에어,T1,F19-G11,106.0, 출발 ,-
9,09시15분,세부 (CEB),KE5781대한항공,T1,F19-G11,106.0, 출발 ,
10,09시17분,톈진 (TSN),OZ327아시아나항공,T1,B19-C36,23.0, 출발 ,-
11,09시17분,톈진 (TSN),CA5014중국국제항공,T1,B19-C36,23.0, 출발 ,
12,09시19분,타이베이 (TPE),KE691대한항공,T2,A B D E G,233.0, 출발 ,-
13,09시19분,타이베이 (TPE),CI9065중화항공,T2,A B D E G,233.0, 출발 ,
14,09시19분,타이베이 (TPE),DL7694델타항공,T2,A B D E G,233.0, 출발 ,
15,09시19분,오사카/ 간사이 (KIX),KE723대한항공,T2,A B D E G,243.0, 출발 ,-
16,09시19분,오사카/ 간사이 (KIX),DL7698델타항공,T2,A B D E G,243.0, 출발 ,
17,09시19분,오사카/ 간사이 (KIX),AF7884에어 프랑스,T2,A B D E G,243.0, 출발 ,
18,09시19분,오사카/ 간사이 (KIX),JL5210일본항공,T2,A B D E G,243.0, 출발 ,
19,09시23분,홍콩 (HKG),OZ721아시아나항공,T1,B19-C36,27.0, 출발 ,-
20,09시23분,홍콩 (HKG),UA7306유나이티드항공,T1,B19-C36,27.0, 출발 ,
21,09시23분,홍콩 (HKG),HX1551홍콩항공,T1,B19-C36,27.0, 출발 ,
22,09시23분,홍콩 (HKG),SA7171남아프리카항공,T1,B19-C36,27.0, 출발 ,
23,09시24분,오사카/ 간사이 (KIX),ZE611이스타항공,T1,F05-F18,131.0, 출발 ,-
24,09시25분,창춘 (CGQ),OZ303아시아나항공,T1,B19-C36,19.0, 출발 ,-
25,09시25분,창춘 (CGQ),CZ4202중국남방항공,T1,B19-C36,19.0, 출발 ,
26,09시28분,칭다오 (TAO),OZ317아시아나항공,T1,B19-C36,15.0, 출발 ,-
27,09시28분,칭다오 (TAO),CA5010중국국제항공,T1,B19-C36,15.0, 출발 ,
28,09시28분,칭다오 (TAO),SC317산동항공,T1,B19-C36,15.0, 출발 ,
29,09시29분,싱가포르 (SIN),SQ607싱가포르항공,T1,D10-D17,32.0, 출발 ,-
30,09시29분,싱가포르 (SIN),VA5407버진 오스트레일리아,T1,D10-D17,32.0, 출발 ,
31,09시29분,싱가포르 (SIN),OZ6781아시아나항공,T1,D10-D17,32.0, 출발 ,
32,09시29분,오사카/ 간사이 (KIX),7C1302제주항공,T1,M19-N06,36.0, 출발 ,-
33,09시29분,오사카/ 간사이 (KIX),H19811한 에어,T1,M19-N06,36.0, 출발 ,
34,09시31분,괌 (GUM),RS103에어서울,T1,D06-D09,132.0, 출발 ,-
35,09시31분,괌 (GUM),OZ9673아시아나항공,T1,D06-D09,132.0, 출발 ,
36,09시31분,칭다오 (TAO),KE845대한항공,T2,A B D E G,252.0, 출발 ,-
37,09시31분,칭다오 (TAO),MU8359중국동방항공,T2,A B D E G,252.0, 출발 ,
38,09시33분,허페이 (HFE),KE813대한항공,T2,A B D E G,245.0, 출발 ,-
39,09시33분,삿포로 (CTS),OZ174아시아나항공,T1,B19-C36,47.0, 출발 ,-
40,09시33분,삿포로 (CTS),ET1294에티오피아항공,T1,B19-C36,47.0, 출발 ,
41,09시33분,삿포로 (CTS),NH6998전일본공수 주식회사,T1,B19-C36,47.0, 출발 ,
42,09시35분,괌 (GUM),KE113대한항공,T2,C,246.0, 출발 ,-
43,09시35분,괌 (GUM),DL9038델타항공,T2,C,246.0, 출발 ,
44,09시35분,옌지(연길) (YNJ),OZ351아시아나항공,T1,B19-C36,33.0, 출발 ,-
45,09시35분,옌지(연길) (YNJ),CA5016중국국제항공,T1,B19-C36,33.0, 출발 ,
46,09시36분,홍콩 (HKG),ZE931이스타항공,T1,F05-F18,128.0, 출발 ,-
47,09시37분,히로시마 (HIJ),RS753에어서울,T1,D01-D05,119.0, 출발 ,-
48,09시37분,히로시마 (HIJ),OZ9653아시아나항공,T1,D01-D05,119.0, 출발 ,
49,09시38분,옌지(연길) (YNJ),KE891대한항공,T2,A B D E G,241.0, 출발 ,-
50,09시40분,호찌민 (SGN),KE681대한항공,T2,A B D E G,232.0, 출발 ,-
51,09시40분,호찌민 (SGN),DL7934델타항공,T2,A B D E G,232.0, 출발 ,
52,09시40분,호찌민 (SGN),VN3403베트남항공,T2,A B D E G,232.0, 출발 ,
53,09시42분,상하이/푸동 (PVG),MU5052중국동방항공,T1,H19-H30,123.0, 출발 ,-
