,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,00시01분,상하이/푸동 (PVG),ZE871Y이스타항공,T1,F07-F18,130, 출발 ,-
1,00시06분,마닐라 (MNL),Z2889Y필리핀에어아시아,T1,F01-F20,119, 출발 ,-
2,00시08분,양저우 (YTY),9C6182춘추항공,T1,C19-C22,118, 출발 ,-
3,00시11분,칭다오 (TAO),SC4722Y산동항공,T1,,15, 출발 ,-
4,00시11분,칭다오 (TAO),OZ6717Y아시아나항공,T1,,15, 출발 ,
5,00시11분,칭다오 (TAO),CA4722Y중국국제항공,T1,,15, 출발 ,
6,00시13분,쿠알라룸푸르 (KUL),D7509에어아시아엑스,T1,F21-F28,112, 출발 ,-
7,00시18분,쿠알라룸푸르 (KUL),MH039말레이시아 에어라인스,T1,M11-M16,26, 출발 ,-
8,00시18분,쿠알라룸푸르 (KUL),KE5669대한항공,T1,M11-M16,26, 출발 ,
9,00시22분,싱가포르 (SIN),KE647Y대한항공,T2,A B G,251, 출발 ,-
10,00시22분,싱가포르 (SIN),DL7662Y델타항공,T2,A B G,251, 출발 ,
11,00시26분,다낭 (DAD),QH485뱀부 항공,T1,B11-B15,42, 출발 ,-
12,00시32분,아부다비 (AUH),EY873에티하드 항공,T1,C23-C35,46, 출발 ,-
13,00시32분,아부다비 (AUH),AZ5689알리탈리아,T1,C23-C35,46, 출발 ,
14,00시32분,아부다비 (AUH),MS8089이집트항공,T1,C23-C35,46, 출발 ,
15,00시32분,아부다비 (AUH),RJ3632로얄 요르단 항공,T1,C23-C35,46, 출발 ,
16,00시32분,아부다비 (AUH),OZ6971아시아나항공,T1,C23-C35,46, 출발 ,
17,00시32분,아부다비 (AUH),XY3873플라이나스,T1,C23-C35,46, 출발 ,
18,00시32분,아부다비 (AUH),JU7574에어세르비아,T1,C23-C35,46, 출발 ,
19,00시32분,아부다비 (AUH),KE7901대한항공,T1,C23-C35,46, 출발 ,
20,00시32분,아부다비 (AUH),HM5377세이셸항공,T1,C23-C35,46, 출발 ,
21,00시32분,아부다비 (AUH),WY5873오만항공,T1,C23-C35,46, 출발 ,
22,00시32분,아부다비 (AUH),SV6775사우디 아라비안 항공,T1,C23-C35,46, 출발 ,
23,00시37분,방콕/돈므앙 (DMK),XJ703타이에어아시아엑스,T1,F21-F28,109, 출발 ,-
24,00시39분,마닐라 (MNL),5J187세부퍼시픽항공,T1,J01-J08,113, 출발 ,-
25,00시41분,도하 (DOH),QR859카타르항공,T1,D25-D34,40, 출발 ,-
26,00시41분,도하 (DOH),OZ6889아시아나항공,T1,D25-D34,40, 출발 ,
27,00시41분,도하 (DOH),AT9735로얄 에어 모로코,T1,D25-D34,40, 출발 ,
28,00시45분,다낭 (DAD),RS511Y에어서울,T1,D01-D04,101, 출발 ,-
29,00시45분,다낭 (DAD),OZ9671Y아시아나항공,T1,D01-D04,101, 출발 ,
30,00시52분,이스탄불 (IST),TK091터키항공,T1,E06-E18,10, 출발 ,-
31,00시52분,이스탄불 (IST),OZ6931아시아나항공,T1,E06-E18,10, 출발 ,
32,00시54분,두바이 (DXB),EK323Y에미레이트항공,T1,L24-M10,43, 출발 ,-
33,00시54분,두바이 (DXB),KE5951Y대한항공,T1,L24-M10,43, 출발 ,
34,01시01분,암스테르담 (AMS),KL856케에엘엠네덜란드항공,T2,E19-F05,253, 출발 ,-
35,01시01분,암스테르담 (AMS),KE5925대한항공,T2,E19-F05,253, 출발 ,
36,01시01분,암스테르담 (AMS),AF8421에어 프랑스,T2,E19-F05,253, 출발 ,
37,01시54분,두옹 당(푸ㅤㄲㅝㄱ) (PQC),VJ975비엣젯항공,T1,E26-E29,107, 출발 ,-
38,01시56분,나트랑 (CXR),VJ839비엣젯항공,T1,E30-E34,106, 출발 ,-
39,02시06분,양곤 (RGN),8M802미얀마국제항공,T1,H31-H34,32, 출발 ,-
40,05시45분,나트랑 (CXR),QH493뱀부 항공,T1,J12-J16,22, 출발 ,-
41,06시06분,도쿄/나리타 (NRT),7C1162제주항공,T1,M19-N06,8, 출발 ,-
42,06시25분,나트랑 (CXR),VJ837비엣젯항공,T1,E01-E04,122, 출발 ,-
43,06시31분,나트랑 (CXR),VN441베트남항공,T1,E12-E16,105, 출발 ,-
44,06시31분,나트랑 (CXR),KE5679대한항공,T1,E12-E16,105, 출발 ,
45,06시36분,방콕/수완나폼 (BKK),7C2201제주항공,T1,M19-N06,33, 출발 ,-
46,06시36분,방콕/수완나폼 (BKK),H19957한 에어,T1,M19-N06,33, 출발 ,
47,06시38분,괌 (GUM),7C3100제주항공,T1,M19-N06,23, 출발 ,-
48,06시41분,칼리보 (KLO),8Y701팬퍼시픽항공,T1,M01-M10,31, 출발 ,-
49,06시44분,다낭 (DAD),VJ881비엣젯항공,T1,E19-E36,121, 출발 ,-
50,06시45분,부산 (PUS),OZ8533아시아나항공,T1,-,20, 출발 ,-
51,06시45분,부산 (PUS),TG6705타이항공,T1,-,20, 출발 ,
