,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
326,00시57분,세부 (CEB),H19937Y한 에어,T1,M19-M36,125.0, 출발 ,
327,01시00분,하노이 (HAN),7C2803Y제주항공,T1,M19-M36,122.0, 출발 ,-
328,01시00분,하노이 (HAN),H19873Y한 에어,T1,M19-M36,122.0, 출발 ,
329,01시04분,암스테르담 (AMS),KL856케에엘엠네덜란드항공,T2,E19-F05,253.0, 출발 ,-
330,01시04분,암스테르담 (AMS),KE5925대한항공,T2,E19-F05,253.0, 출발 ,
331,01시04분,암스테르담 (AMS),AF8421에어 프랑스,T2,E19-F05,253.0, 출발 ,
332,01시30분,괌 (GUM),7C3106Y제주항공,T1,M19-M36,45.0, 출발 ,-
333,01시30분,괌 (GUM),H19882Y한 에어,T1,M19-M36,45.0, 출발 ,
334,01시34분,마닐라 (MNL),5J187세부퍼시픽항공,T1,J01-J08,109.0, 출발 ,-
335,01시44분,양곤 (RGN),8M802미얀마국제항공,T1,H31-H34,124.0, 출발 ,-
336,01시53분,파리/샤를드골 (CDG),AF267A에어 프랑스,T2,F11-F18,254.0, 출발 ,-
337,01시53분,파리/샤를드골 (CDG),KE5901A대한항공,T2,F11-F18,254.0, 출발 ,
338,01시53분,파리/샤를드골 (CDG),KL2345A케에엘엠네덜란드항공,T2,F11-F18,254.0, 출발 ,
339,01시56분,나트랑 (CXR),VJ839비엣젯항공,T1,E30-E34,117.0, 출발 ,-
340,01시58분,하얼빈 (HRB),CZ684Y중국남방항공,T1,J09-J18,113.0, 출발 ,-
341,01시58분,하얼빈 (HRB),OZ6749Y아시아나항공,T1,J09-J18,113.0, 출발 ,
342,02시38분,두옹 당(푸ㅤㄲㅝㄱ) (PQC),VJ975비엣젯항공,T1,E26-E29,115.0, 출발 ,-
343,00시01분,선전 (SZX),BX319Y에어부산,T1,L19-L22,115.0, 출발 ,-
344,00시02분,칭다오 (TAO),SC4722Y산동항공,T1,,12.0, 출발 ,-
345,00시02분,칭다오 (TAO),OZ6717Y아시아나항공,T1,,12.0, 출발 ,
346,00시02분,칭다오 (TAO),CA4722Y중국국제항공,T1,,12.0, 출발 ,
347,00시08분,쿠알라룸푸르 (KUL),D7509에어아시아엑스,T1,F19-F28,112.0, 출발 ,-
348,00시10분,두바이 (DXB),EK323Y에미레이트항공,T1,M01-M18,43.0, 출발 ,-
349,00시10분,두바이 (DXB),KE5951Y대한항공,T1,M01-M18,43.0, 출발 ,
350,00시15분,정저우 (CGO),ZE853이스타항공,T1,F07-F18,131.0, 출발 ,-
351,00시16분,다낭 (DAD),QH485뱀부 항공,T1,B11-B15,47.0, 출발 ,-
352,00시19분,하바로프스크 (KHV),HZ5751오로라항공,T1,D21-D27,32.0, 출발 ,-
353,00시19분,하바로프스크 (KHV),SU5751아에로플로트 러시아항공,T1,D21-D27,32.0, 출발 ,
354,00시19분,하바로프스크 (KHV),KE5993대한항공,T1,D21-D27,32.0, 출발 ,
355,00시22분,아부다비 (AUH),EY873에티하드 항공,T1,C23-C35,46.0, 출발 ,-
356,00시22분,아부다비 (AUH),AZ5689알리탈리아,T1,C23-C35,46.0, 출발 ,
