,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,21시00분,나트랑 (CXR),KE467대한항공,T2,A B G,231.0, 출발 ,-
1,21시00분,나트랑 (CXR),DL7678델타항공,T2,A B G,231.0, 출발 ,
2,21시00분,나트랑 (CXR),VN3409베트남항공,T2,A B G,231.0, 출발 ,
3,21시00분,도쿄/하네다 (HND),KE719대한항공,T2,A B G,260.0, 출발 ,-
4,21시00분,도쿄/하네다 (HND),JL5256일본항공,T2,A B G,260.0, 출발 ,
5,21시00분,도쿄/하네다 (HND),AF7881에어 프랑스,T2,A B G,260.0, 출발 ,
6,21시02분,푸에르토프린세사 (PPS),ZE571이스타항공,T1,F06-F18,130.0, 출발 ,-
7,21시02분,오사카/ 간사이 (KIX),KE721대한항공,T2,A B G,245.0, 출발 ,-
8,21시02분,오사카/ 간사이 (KIX),DL7682델타항공,T2,A B G,245.0, 출발 ,
9,21시02분,오사카/ 간사이 (KIX),AZ2771알리탈리아,T2,A B G,245.0, 출발 ,
10,21시02분,오사카/ 간사이 (KIX),JL5214일본항공,T2,A B G,245.0, 출발 ,
11,21시02분,오사카/ 간사이 (KIX),AF7891에어 프랑스,T2,A B G,245.0, 출발 ,
12,21시05분,하노이 (HAN),OZ733아시아나항공,T1,B19-C36,28.0, 출발 ,-
13,21시05분,하노이 (HAN),AC6984캐나다항공,T1,B19-C36,28.0, 출발 ,
14,21시05분,하노이 (HAN),UA7314유나이티드항공,T1,B19-C36,28.0, 출발 ,
15,21시07분,마닐라 (MNL),KE623대한항공,T2,A B G,254.0, 출발 ,-
16,21시07분,울란바토르 (ULN),OZ567아시아나항공,T1,B19-C36,26.0, 출발 ,-
17,21시08분,샌프란시스코 (SFO),OZ212아시아나항공,T1,B19-C36,6.0, 출발 ,-
18,21시08분,샌프란시스코 (SFO),UA7289유나이티드항공,T1,B19-C36,6.0, 출발 ,
19,21시08분,샌프란시스코 (SFO),SQ5712싱가포르항공,T1,B19-C36,6.0, 출발 ,
20,21시08분,샌프란시스코 (SFO),TG6747타이항공,T1,B19-C36,6.0, 출발 ,
21,21시09분,두옹 당(푸ㅤㄲㅝㄱ) (PQC),7C4103제주항공,T1,M19-N06,36.0, 출발 ,-
22,21시09분,두옹 당(푸ㅤㄲㅝㄱ) (PQC),H19776한 에어,T1,M19-N06,36.0, 출발 ,
