,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,00시00분,쿠알라룸푸르 (KUL),D7509에어아시아엑스,T1,F19-F28,107, 출발 ,-
1,00시06분,두바이 (DXB),EK323Y에미레이트항공,T1,M01-M18,43, 출발 ,-
2,00시06분,두바이 (DXB),KE5951Y대한항공,T1,M01-M18,43, 출발 ,
3,00시16분,아부다비 (AUH),EY873에티하드 항공,T1,C23-C35,46, 출발 ,-
4,00시16분,아부다비 (AUH),HM5377세이셸항공,T1,C23-C35,46, 출발 ,
5,00시16분,아부다비 (AUH),JU7574에어세르비아,T1,C23-C35,46, 출발 ,
6,00시16분,아부다비 (AUH),MS8089이집트항공,T1,C23-C35,46, 출발 ,
7,00시16분,아부다비 (AUH),XY3873플라이나스,T1,C23-C35,46, 출발 ,
8,00시16분,아부다비 (AUH),WY5873오만항공,T1,C23-C35,46, 출발 ,
9,00시16분,아부다비 (AUH),SV6775사우디 아라비안 항공,T1,C23-C35,46, 출발 ,
10,00시16분,아부다비 (AUH),KE7901대한항공,T1,C23-C35,46, 출발 ,
11,00시16분,아부다비 (AUH),OZ6971아시아나항공,T1,C23-C35,46, 출발 ,
12,00시16분,아부다비 (AUH),AZ5689알리탈리아,T1,C23-C35,46, 출발 ,
13,00시16분,아부다비 (AUH),RJ3632로얄 요르단 항공,T1,C23-C35,46, 출발 ,
14,00시28분,방콕/돈므앙 (DMK),XJ703타이에어아시아엑스,T1,F19-F26,109, 출발 ,-
15,00시36분,다낭 (DAD),QH485뱀부 항공,T1,B11-B15,106, 출발 ,-
16,00시38분,도하 (DOH),QR859카타르항공,T1,D25-D34,40, 출발 ,-
17,00시38분,도하 (DOH),AT9735로얄 에어 모로코,T1,D25-D34,40, 출발 ,
18,00시38분,도하 (DOH),OZ6889아시아나항공,T1,D25-D34,40, 출발 ,
19,00시54분,볼레(아디스아바바) (ADD),ET673에티오피아항공,T1,E19-E25,121, 출발 ,-
20,00시56분,마닐라 (MNL),5J187세부퍼시픽항공,T1,J01-J08,111, 출발 ,-
21,01시02분,암스테르담 (AMS),KL856케에엘엠네덜란드항공,T2,E19-F05,253, 출발 ,-
22,01시02분,암스테르담 (AMS),AF8421에어 프랑스,T2,E19-F05,253, 출발 ,
23,01시02분,암스테르담 (AMS),KE5925대한항공,T2,E19-F05,253, 출발 ,
24,01시14분,이스탄불 (IST),TK091터키항공,T1,E06-E18,22, 출발 ,-
25,01시14분,이스탄불 (IST),OZ6931아시아나항공,T1,E06-E18,22, 출발 ,
26,01시50분,두옹 당(푸ㅤㄲㅝㄱ) (PQC),VJ975비엣젯항공,T1,E26-E29,104, 출발 ,-
27,01시52분,나트랑 (CXR),VJ839비엣젯항공,T1,E30-E34,105, 출발 ,-
28,05시27분,나트랑 (CXR),QH493뱀부 항공,T1,J12-J16,117, 출발 ,-
29,06시07분,도쿄/나리타 (NRT),7C1162제주항공,T1,M19-N06,31, 출발 ,-
30,06시35분,나트랑 (CXR),VN441베트남항공,T1,E12-E16,111, 출발 ,-
31,06시35분,나트랑 (CXR),KE5679대한항공,T1,E12-E16,111, 출발 ,
32,06시56분,괌 (GUM),7C3100제주항공,T1,M19-N06,11, 출발 ,-
33,06시59분,방콕/수완나폼 (BKK),7C2201제주항공,T1,M19-N06,35, 출발 ,-
34,06시59분,방콕/수완나폼 (BKK),H19957한 에어,T1,M19-N06,35, 출발 ,
35,07시01분,하노이 (HAN),VJ963비엣젯항공,T1,E19-E36,131, 출발 ,-
36,07시05분,부산 (PUS),OZ8533아시아나항공,T1,-,16, 출발 ,-
37,07시05분,부산 (PUS),TG6705타이항공,T1,-,16, 출발 ,
38,07시10분,후쿠오카 (FUK),LJ221진에어,T1,F19-F36,34, 출발 ,-
39,07시13분,오사카/ 간사이 (KIX),7C3172제주항공,T1,M19-N06,28, 출발 ,-
40,07시19분,베이징 (PEK),KE855대한항공,T2,A B D E G,252, 출발 ,-
41,07시19분,베이징 (PEK),MF9094샤먼항공,T2,A B D E G,252, 출발 ,
42,07시19분,베이징 (PEK),CZ4508중국남방항공,T2,A B D E G,252, 출발 ,
43,07시27분,홍콩 (HKG),HX647홍콩항공,T1,L28-L34,46, 출발 ,-
44,07시27분,홍콩 (HKG),LY9118이스라엘항공,T1,L28-L34,46, 출발 ,
45,07시27분,홍콩 (HKG),AI7191에어인디아 리미티드,T1,L28-L34,46, 출발 ,
46,07시27분,홍콩 (HKG),OZ9297아시아나항공,T1,L28-L34,46, 출발 ,
47,07시30분,다낭 (DAD),ZE595이스타항공,T1,F05-F18,114, 출발 ,-
48,07시54분,도쿄/나리타 (NRT),LJ201진에어,T1,F19-G11,20, 출발 ,-
49,07시54분,도쿄/나리타 (NRT),KE5741대한항공,T1,F19-G11,20, 출발 ,
50,08시15분,다낭 (DAD),LJ077진에어,T1,F19-G11,41, 출발 ,-
51,08시15분,다낭 (DAD),KE5789대한항공,T1,F19-G11,41, 출발 ,
52,08시44분,후쿠오카 (FUK),KE787대한항공,T2,A B D E G,241, 출발 ,-
53,08시44분,후쿠오카 (FUK),JL5220일본항공,T2,A B D E G,241, 출발 ,
54,08시44분,후쿠오카 (FUK),DL7892델타항공,T2,A B D E G,241, 출발 ,
55,08시53분,선전 (SZX),KE827대한항공,T2,A B D E G,263, 출발 ,-
56,08시53분,선전 (SZX),CZ4540중국남방항공,T2,A B D E G,263, 출발 ,
57,08시57분,부산 (PUS),KE1401대한항공,T2,-,245, 출발 ,-
58,08시57분,부산 (PUS),DL7879델타항공,T2,-,245, 출발 ,
59,09시05분,오사카/ 간사이 (KIX),ZE611이스타항공,T1,F05-F18,, 결항 ,-
60,09시16분,세부 (CEB),LJ021진에어,T1,F19-G11,102, 출발 ,-
61,09시16분,세부 (CEB),KE5781대한항공,T1,F19-G11,102, 출발 ,
62,09시19분,홍콩 (HKG),KE603대한항공,T2,A B D E G,256, 출발 ,-
63,09시19분,홍콩 (HKG),DL7915델타항공,T2,A B D E G,256, 출발 ,
64,09시22분,삿포로 (CTS),LJ231진에어,T1,F19-G11,30, 출발 ,-
65,09시30분,옌지(연길) (YNJ),KE891대한항공,T2,A B D E G,260, 출발 ,-
66,09시47분,블라디보스토크 (VVO),KE981대한항공,T2,A B D E G,238, 출발 ,-
67,09시47분,블라디보스토크 (VVO),SU4032아에로플로트 러시아항공,T2,A B D E G,238, 출발 ,
68,09시50분,마카오 (MFM),LJ125진에어,T1,F19-G11,127, 출발 ,-
69,09시54분,보스턴 (BOS),KE091대한항공,T2,C,239, 출발 ,-
70,09시54분,보스턴 (BOS),DL7667델타항공,T2,C,239, 출발 ,
71,09시56분,광저우 (CAN),KE865대한항공,T2,A B D E G,257, 출발 ,-
72,09시56분,광저우 (CAN),CZ4502중국남방항공,T2,A B D E G,257, 출발 ,
