,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,15시00분,로스앤젤레스 (LAX),OZ202아시아나항공,T1,B19-C36,17.0, 출발 ,-
1,15시00분,로스앤젤레스 (LAX),CM8000코파항공,T1,B19-C36,17.0, 출발 ,
2,15시00분,로스앤젤레스 (LAX),TG6741타이항공,T1,B19-C36,17.0, 출발 ,
3,15시00분,로스앤젤레스 (LAX),UA7285유나이티드항공,T1,B19-C36,17.0, 출발 ,
4,15시00분,로스앤젤레스 (LAX),SQ5702싱가포르항공,T1,B19-C36,17.0, 출발 ,
5,15시05분,가오슝 (KHH),7C4501제주항공,T1,M19-N06,128.0, 출발 ,-
6,15시05분,가오슝 (KHH),H19893한 에어,T1,M19-N06,128.0, 출발 ,
7,15시07분,베이징 (PEK),OZ335아시아나항공,T1,B19-C36,18.0, 출발 ,-
8,15시07분,베이징 (PEK),CA5006중국국제항공,T1,B19-C36,18.0, 출발 ,
9,15시10분,선전 (SZX),ZH9034심천항공,T1,C19-C22,31.0, 출발 ,-
10,15시10분,선전 (SZX),OZ6899아시아나항공,T1,C19-C22,31.0, 출발 ,
11,15시10분,선전 (SZX),CA3310중국국제항공,T1,C19-C22,31.0, 출발 ,
12,15시11분,오사카/ 간사이 (KIX),OZ114아시아나항공,T1,B19-C36,11.0, 출발 ,-
13,15시11분,오사카/ 간사이 (KIX),NH6954전일본공수 주식회사,T1,B19-C36,11.0, 출발 ,
14,15시11분,오사카/ 간사이 (KIX),NZ4050에어 뉴질랜드,T1,B19-C36,11.0, 출발 ,
15,15시11분,오사카/ 간사이 (KIX),EY8455에티하드 항공,T1,B19-C36,11.0, 출발 ,
16,15시13분,홍콩 (HKG),CX411캐세이패시픽항공,T1,M01-M10,48.0, 출발 ,-
17,15시13분,홍콩 (HKG),QF8224콴타스항공,T1,M01-M10,48.0, 출발 ,
18,15시13분,홍콩 (HKG),QR5801카타르항공,T1,M01-M10,48.0, 출발 ,
19,15시17분,광저우 (CAN),CZ338중국남방항공,T1,H35-J18,107.0, 출발 ,-
20,15시17분,광저우 (CAN),KE5815대한항공,T1,H35-J18,107.0, 출발 ,
21,15시19분,오사카/ 간사이 (KIX),TW285티웨이항공,T1,H01-H18,112.0, 출발 ,-
22,15시21분,세부 (CEB),8Y601팬퍼시픽항공,T1,F20-F27,27.0, 출발 ,-
23,15시23분,클라크필드 (CRK),8Y771팬퍼시픽항공,T1,F20-F27,50.0, 출발 ,-
24,15시25분,도쿄/나리타 (NRT),7C1104제주항공,T1,M19-N06,118.0, 출발 ,-
25,15시25분,도쿄/나리타 (NRT),H19803한 에어,T1,M19-N06,118.0, 출발 ,
26,15시27분,칼리보 (KLO),8Y701팬퍼시픽항공,T1,F20-F27,37.0, 출발 ,-
27,15시29분,오사카/ 간사이 (KIX),KE725대한항공,T2,A B D E G,245.0, 출발 ,-
28,15시29분,오사카/ 간사이 (KIX),DL7683델타항공,T2,A B D E G,245.0, 출발 ,
29,15시29분,오사카/ 간사이 (KIX),EY8487에티하드 항공,T2,A B D E G,245.0, 출발 ,
30,15시29분,오사카/ 간사이 (KIX),AZ2761알리탈리아,T2,A B D E G,245.0, 출발 ,
31,15시29분,오사카/ 간사이 (KIX),JL5212일본항공,T2,A B D E G,245.0, 출발 ,
