,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,05시31분,나트랑 (CXR),QH493뱀부 항공,T1,J12-J16,33.0, 출발 ,-
1,03시12분,마닐라 (MNL),Z2889A필리핀에어아시아,T1,F01-F01,119.0, 출발 ,-
2,05시29분,나트랑 (CXR),QH493뱀부 항공,T1,J12-J16,30.0, 출발 ,-
3,05시53분,마닐라 (MNL),PR5469필리핀항공,T1,L21-L25,48.0, 출발 ,-
4,05시27분,나트랑 (CXR),QH493뱀부 항공,T1,J12-J16,32.0, 출발 ,-
5,05시26분,나트랑 (CXR),QH493뱀부 항공,T1,J12-J16,31.0, 출발 ,-
6,05시45분,나트랑 (CXR),QH493뱀부 항공,T1,J12-J16,22.0, 출발 ,-
7,05시51분,나트랑 (CXR),QH493뱀부 항공,T1,J12-J16,35.0, 출발 ,-
8,05시27분,나트랑 (CXR),QH493뱀부 항공,T1,J12-J16,117.0, 출발 ,-
9,04시18분,칭다오 (TAO),QW9902Y청도항공,T1,,11.0, 출발 ,-
10,05시50분,나트랑 (CXR),QH493뱀부 항공,T1,J12-J16,34.0, 출발 ,-
