,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,06시11분,도쿄/나리타 (NRT),7C1162제주항공,T1,M19-N06,50.0, 출발 ,-
1,06시14분,다낭 (DAD),VJ881비엣젯항공,T1,E19-E36,105.0, 출발 ,-
2,06시23분,나트랑 (CXR),VN441베트남항공,T1,E12-E16,111.0, 출발 ,-
3,06시23분,나트랑 (CXR),KE5679대한항공,T1,E12-E16,111.0, 출발 ,
4,06시33분,나트랑 (CXR),VJ837비엣젯항공,T1,E01-E04,109.0, 출발 ,-
5,06시35분,괌 (GUM),7C3100제주항공,T1,M19-N06,23.0, 출발 ,-
6,06시39분,하노이 (HAN),VJ963비엣젯항공,T1,E19-E36,121.0, 출발 ,-
7,06시44분,방콕/수완나폼 (BKK),7C2201제주항공,T1,M19-N06,28.0, 출발 ,-
8,06시44분,방콕/수완나폼 (BKK),H19957한 에어,T1,M19-N06,28.0, 출발 ,
9,06시49분,칼리보 (KLO),Z2037필리핀에어아시아,T1,F01-F04,119.0, 출발 ,-
10,06시51분,부산 (PUS),OZ8533아시아나항공,T1,-,20.0, 출발 ,-
11,06시51분,부산 (PUS),TG6705타이항공,T1,-,20.0, 출발 ,
12,06시55분,호찌민 (SGN),VJ865비엣젯항공,T1,E19-E36,117.0, 출발 ,-
13,07시00분,홍콩 (HKG),HX647홍콩항공,T1,L28-L34,32.0, 출발 ,-
14,07시00분,홍콩 (HKG),OZ9297아시아나항공,T1,L28-L34,32.0, 출발 ,
15,07시00분,홍콩 (HKG),LY9118이스라엘항공,T1,L28-L34,32.0, 출발 ,
16,07시00분,홍콩 (HKG),AI7191에어인디아 리미티드,T1,L28-L34,32.0, 출발 ,
17,07시02분,후쿠오카 (FUK),LJ221진에어,T1,F19-F36,45.0, 출발 ,-
18,07시11분,베이징 (PEK),KE855대한항공,T2,A B D E G,254.0, 출발 ,-
19,07시11분,베이징 (PEK),CZ4508중국남방항공,T2,A B D E G,254.0, 출발 ,
20,07시11분,베이징 (PEK),MF9094샤먼항공,T2,A B D E G,254.0, 출발 ,
21,07시14분,보홀 팡라오 (TAG),7C4407제주항공,T1,M19-N06,36.0, 출발 ,-
22,07시18분,다낭 (DAD),VJ879비엣젯항공,T1,E19-E36,104.0, 출발 ,-
23,07시21분,타이베이 (TPE),BR149에바항공,T1,D28-D33,27.0, 출발 ,-
24,07시21분,타이베이 (TPE),TG6395타이항공,T1,D28-D33,27.0, 출발 ,
25,07시21분,타이베이 (TPE),OZ6877아시아나항공,T1,D28-D33,27.0, 출발 ,
26,07시21분,타이베이 (TPE),NZ4921에어 뉴질랜드,T1,D28-D33,27.0, 출발 ,
27,07시26분,오사카/ 간사이 (KIX),RS711에어서울,T1,D01-D05,113.0, 출발 ,-
