,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,00시05분,울란바토르 (ULN),OM306몽골항공,T1,D19-D23,24, 출발 ,-
1,00시12분,두바이 (DXB),EK323Y에미레이트항공,T1,M01-M18,43, 출발 ,-
2,00시12분,두바이 (DXB),KE5951Y대한항공,T1,M01-M18,43, 출발 ,
3,00시17분,정저우 (CGO),CZ8130중국남방항공,T1,J09-J18,108, 출발 ,-
4,00시19분,선전 (SZX),BX319Y에어부산,T1,L19-L22,107, 출발 ,-
5,00시20분,다낭 (DAD),QH485뱀부 항공,T1,B11-B15,45, 출발 ,-
6,00시25분,쿠알라룸푸르 (KUL),MH039말레이시아 에어라인스,T1,M11-M16,26, 출발 ,-
7,00시25분,쿠알라룸푸르 (KUL),KE5669대한항공,T1,M11-M16,26, 출발 ,
8,00시26분,상하이/푸동 (PVG),ZE871Y이스타항공,T1,F07-F18,127, 출발 ,-
9,00시29분,방콕/돈므앙 (DMK),XJ703타이에어아시아엑스,T1,F21-F28,111, 출발 ,-
10,00시31분,상하이/푸동 (PVG),CZ370Y중국남방항공,T1,J06-J18,109, 출발 ,-
11,00시31분,상하이/푸동 (PVG),KE5809Y대한항공,T1,J06-J18,109, 출발 ,
12,00시31분,상하이/푸동 (PVG),MU3500Y중국동방항공,T1,J06-J18,109, 출발 ,
13,00시45분,아부다비 (AUH),EY873에티하드 항공,T1,C23-C35,46, 출발 ,-
14,00시45분,아부다비 (AUH),KE7901대한항공,T1,C23-C35,46, 출발 ,
15,00시45분,아부다비 (AUH),RJ3632로얄 요르단 항공,T1,C23-C35,46, 출발 ,
16,00시45분,아부다비 (AUH),JU7574에어세르비아,T1,C23-C35,46, 출발 ,
17,00시45분,아부다비 (AUH),WY5873오만항공,T1,C23-C35,46, 출발 ,
18,00시45분,아부다비 (AUH),AZ5689알리탈리아,T1,C23-C35,46, 출발 ,
19,00시45분,아부다비 (AUH),HM5377세이셸항공,T1,C23-C35,46, 출발 ,
20,00시45분,아부다비 (AUH),SV6775사우디 아라비안 항공,T1,C23-C35,46, 출발 ,
21,00시45분,아부다비 (AUH),OZ6971아시아나항공,T1,C23-C35,46, 출발 ,
22,00시45분,아부다비 (AUH),XY3873플라이나스,T1,C23-C35,46, 출발 ,
23,00시45분,아부다비 (AUH),MS8089이집트항공,T1,C23-C35,46, 출발 ,
24,00시48분,도하 (DOH),QR859카타르항공,T1,D25-D34,41, 출발 ,-
25,00시48분,도하 (DOH),AT9735로얄 에어 모로코,T1,D25-D34,41, 출발 ,
26,00시48분,도하 (DOH),OZ6889아시아나항공,T1,D25-D34,41, 출발 ,
27,00시57분,암스테르담 (AMS),KL856케에엘엠네덜란드항공,T2,E19-F05,253, 출발 ,-
28,00시57분,암스테르담 (AMS),KE5925대한항공,T2,E19-F05,253, 출발 ,
29,00시57분,암스테르담 (AMS),AF8421에어 프랑스,T2,E19-F05,253, 출발 ,
30,01시21분,이스탄불 (IST),TK091터키항공,T1,E09-E18,40, 출발 ,-
31,01시21분,이스탄불 (IST),OZ6931아시아나항공,T1,E09-E18,40, 출발 ,
32,01시39분,마닐라 (MNL),5J187세부퍼시픽항공,T1,J01-J08,113, 출발 ,-
